run_id,sender,receiver,size_bits,propagation_delay,transmission_delay,processing_delay,queuing_delay,total_delay,packet_lost,timestamp
15,Vehicle,ECA,1256,0.005181799084450988,0.00020933333333333334,0.0014052428941134893,0.002058861150077255,0.008855236461975065,False,1776668111.377702
15,Vehicle,ECA,5248,0.008791781927172214,0.0008746666666666667,0.0016379514615838362,0.0005210027428583628,0.011825402798281079,False,1776668111.3777041
15,Vehicle,TMA,13304,0.008419818006003126,0.0022173333333333333,0.0035150692660312647,0.0007553100789846787,0.014907530684352403,False,1776668111.377706
16,Vehicle,ECA,1256,0.00714975417787415,0.00020933333333333334,0.004673950336916864,0.0019857265934669914,0.014018764441591338,False,1776668111.624221
16,Vehicle,ECA,5240,0.007590114162555041,0.0008733333333333334,0.002772789475443295,0.0011536457570311069,0.012389882728362776,False,1776668111.6242232
16,Vehicle,TMA,13320,0.0028632002639600133,0.00222,0.004582223690382036,0.0026041341317691296,0.012269558086111179,False,1776668111.6242247
17,Vehicle,ECA,1256,0.0017385263085586227,0.00020933333333333334,0.0023631287381039342,0.0018712542070530057,0.006182242587048897,False,1776668111.8578944
17,Vehicle,ECA,5264,0.0026336425251420126,0.0008773333333333334,0.0016260996913732275,0.0006087127417232275,0.005745788291571801,False,1776668111.857896
17,Vehicle,TMA,13320,0.00855166681128514,0.00222,0.004259028437997952,0.0011009384351987395,0.01613163368448183,False,1776668111.8578975
18,Vehicle,ECA,1256,0.006584517204818007,0.00020933333333333334,0.0016597077733490533,0.0027449788214230133,0.011198537132923406,False,1776668112.0980916
18,Vehicle,ECA,5248,0.006373848684455942,0.0008746666666666667,0.002837764950040755,0.0005018973867729052,0.01058817768793627,False,1776668112.098094
18,Vehicle,TMA,13312,0.007023541512990339,0.0022186666666666665,0.0034685940936019927,0.002737994116442834,0.015448796389701834,False,1776668112.0980954
19,Vehicle,ECA,1256,0.002442969319101632,0.00020933333333333334,0.002187086300551263,0.0020687699532448193,0.006908158906231048,False,1776668112.3196185
19,Vehicle,ECA,5256,0.0012213565313598414,0.000876,0.0037935324927023564,0.0029274050729578183,0.008818294097020016,False,1776668112.3196208
19,Vehicle,TMA,13312,0.0033608832527801985,0.0022186666666666665,0.00435041285981661,0.002818016257325057,0.012747979036588532,False,1776668112.3196225
20,Vehicle,ECA,1256,0.00618669748409512,0.00020933333333333334,0.0018135435133168928,0.0029360860236456844,0.011145660354391029,False,1776668112.5623837
20,Vehicle,ECA,5248,0.007558918674280294,0.0008746666666666667,0.0028429945535653183,0.0015587162916395074,0.012835296186151786,False,1776668112.5623848
20,Vehicle,TMA,13328,0.003901250761222552,0.0022213333333333334,0.0027034082156235477,0.0007316909458118863,0.00955768325599132,False,1776668112.562386
